,jurisdiction,case_id,hash_name,entry_date,resolution,total_decisions
11027,alsd,1-16-cr-00134-WS-N,b'd66fc1665d1e1899fde85ae1',02/14/2018,-1,14
11028,alsd,1-16-cv-00578-CG-B,b'f573cd8ae8b4deaefde5caee',01/06/2017,-1,3
11029,alsd,1-16-cr-00272-CG-B,b'f573cd8ae8b4deaefde5caee',01/09/2020,-1,3
11030,alsd,1-16-cr-00015-CG-MU,b'f573cd8ae8b4deaefde5caee',08/24/2017,1,3
11031,alsd,2-16-cv-00391-N,b'561a5b0bd4dbf5afadbc5648',08/05/2016,1,19
11032,alsd,1-16-cv-00081-CG-M,b'f573cd8ae8b4deaefde5caee',02/25/2016,0,3
11033,alsd,2-16-cv-00410-KD-M,b'a4f34c6cac60348ca3c99227',08/08/2016,-1,3
11034,alsd,1-16-cv-00036-CG-B,b'f573cd8ae8b4deaefde5caee',01/19/2016,0,3
11035,alsd,1-16-cv-00541-WS-MU,b'd66fc1665d1e1899fde85ae1',11/21/2016,1,14
11036,txsd,4-16-cv-02532,b'27e84cb93a02b9027fb4f70d',03/14/2017,1,28
11037,txsd,7-16-cr-00381,b'3aeeca87a7b66fb4b9b9a9e6',12/09/2016,1,12
11038,txsd,2-16-cr-00076,b'2c4b25a3ae2a43455431f536',12/29/2017,-1,4
11039,txsd,2-16-cv-00320,b'737dc2319db35d6b6c011500',08/02/2016,1,16
11040,txsd,5-16-cv-00315,b'29c2f3d72a26d23a1cf7d561',11/06/2017,-1,60
11041,txsd,4-16-cv-02709,b'93ce59d88ade505cd0f28b71',09/14/2016,-10,8
11042,txsd,3-16-cv-00185,b'0f1d70ee1a4b38f29eeca28a',10/13/2017,-10,4
11043,txsd,5-16-cv-00303,b'4720b6235bba442a21a82ec0',10/21/2016,-1,10
11044,txsd,7-16-cv-00700,b'3aeeca87a7b66fb4b9b9a9e6',05/30/2017,0,12
11045,txsd,5-16-cv-00246,b'29c2f3d72a26d23a1cf7d561',12/02/2016,-1,60
11046,txsd,4-16-cv-00722,b'2d4cfe1935fd8fd452732650',03/22/2016,-10,16
