,jurisdiction,case_id,hash_name,entry_date,resolution,total_decisions
17100,ared,2-16-cv-00135-PSH,b'f60fc51637788f30bf231cfa',10/12/2016,1,44
17101,ared,1-16-cv-00099-JJV,b'0e1a7a1e44433445f536fff0',08/05/2016,1,54
17102,ared,4-16-cv-00011-JLH,b'43c03b31e6f7b2d5d40033a8',01/07/2016,1,36
17103,ared,4-16-cv-00010-JLH,b'43c03b31e6f7b2d5d40033a8',01/07/2016,1,36
17104,ared,2-16-cv-00011-BSM,b'41743e2a6865ed065170fb10',01/20/2016,1,43
17105,ared,5-16-cv-00182-BSM,b'41743e2a6865ed065170fb10',07/07/2016,-1,43
17106,ared,3-16-cv-00142-JJV,b'0e1a7a1e44433445f536fff0',05/27/2016,1,54
17107,ared,4-16-cv-00631-JJV,b'0e1a7a1e44433445f536fff0',09/01/2016,1,54
17108,ared,3-16-cv-00199-JJV,b'0e1a7a1e44433445f536fff0',08/08/2016,1,54
17109,ared,4-16-cv-00050-JTR,b'a6bc07fcc497c5e72a162912',03/08/2016,1,46
17110,ared,3-16-cv-00160-JJV,b'0e1a7a1e44433445f536fff0',07/11/2016,1,54
17111,ared,5-16-cv-00314-JJV,b'0e1a7a1e44433445f536fff0',10/03/2016,0,54
17112,ared,3-16-cv-00215-PSH,b'f60fc51637788f30bf231cfa',08/25/2016,1,44
17113,ared,4-16-cv-00148-SWW,b'8123df5633223d0e3238a609',06/23/2016,1,19
17114,ared,1-16-cv-00162-JM,b'b09e8410dd85b252a00ab05e',11/23/2016,-1,45
17115,ared,5-16-cv-00147-BRW,b'20c943dd1aac3910a79ac5cd',05/25/2016,-999,29
17116,ared,4-16-cv-00647-JM,b'b09e8410dd85b252a00ab05e',09/07/2016,0,45
17117,ared,4-16-cv-00565-JTK,b'0150d65753172cf27fdb0148',08/08/2016,1,46
17118,ared,1-16-cv-00068-BSM,b'41743e2a6865ed065170fb10',06/13/2016,0,43
17119,ared,4-16-cv-00057-BSM,b'41743e2a6865ed065170fb10',02/26/2016,1,43
17120,ared,4-16-cv-00762-JM,b'b09e8410dd85b252a00ab05e',03/07/2018,1,45
