ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,71,02/05/2018,of Proceedings - held before Chief Judge Gregory K Frizzell: Pretrial Conference held on 2/,8,99,of Proceedings - held before Chief Judge,Gregory K Frizzell,: Pretrial Conference held on 2/,49,67,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,72,02/05/2018,"ORDER by Chief Judge Gregory K Frizzell (Re: 52 Order, Ruling",0,61,ORDER by Chief Judge,Gregory K Frizzell,"(Re: 52 Order, Ruling",21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,73,02/05/2018,"ORDER by Chief Judge Gregory K Frizzell, setting/resetting deadline(s",0,69,ORDER by Chief Judge,Gregory K Frizzell,", setting/resetting deadline(s",21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,84,02/13/2018,"MINUTE ORDER by Chief Judge Gregory K Frizzell Defendant AHS Oklahoma Physician Group, d",0,88,MINUTE ORDER by Chief Judge,Gregory K Frizzell,"Defendant AHS Oklahoma Physician Group, d",28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,93,02/16/2018,OPINION AND ORDER by Chief Judge Gregory K Frizzell ; denying 77 Motion to Reconsider (,0,87,OPINION AND ORDER by Chief Judge,Gregory K Frizzell,; denying 77 Motion to Reconsider (,33,51,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,94,02/16/2018,"PRETRIAL ORDER by Chief Judge Gregory K Frizzell (kjp, Dpty Clk) (",0,66,PRETRIAL ORDER by Chief Judge,Gregory K Frizzell,"(kjp, Dpty Clk) (",30,48,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,97,02/20/2018,of Proceedings - held before Chief Judge Gregory K Frizzell: Voir Dire/Jury Selection held,8,98,of Proceedings - held before Chief Judge,Gregory K Frizzell,: Voir Dire/Jury Selection held,49,67,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,98,02/20/2018,"of Proceedings - held before Chief Judge Gregory K Frizzell: Jury Trial began (kjp,",8,91,of Proceedings - held before Chief Judge,Gregory K Frizzell,": Jury Trial began (kjp,",49,67,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,99,02/20/2018,of Proceedings - held before Chief Judge Gregory K Frizzell: Jury Trial held (Continued to,8,98,of Proceedings - held before Chief Judge,Gregory K Frizzell,: Jury Trial held (Continued to,49,67,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,99,02/20/2018,09:00 AM before Chief Judge Gregory K Frizzell) (Court Reporter: Brian Neil,186,261,09:00 AM before Chief Judge,Gregory K Frizzell,) (Court Reporter: Brian Neil,214,232,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,100,02/21/2018,of Proceedings - held before Chief Judge Gregory K Frizzell: Jury Trial held (Continued to,8,98,of Proceedings - held before Chief Judge,Gregory K Frizzell,: Jury Trial held (Continued to,49,67,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,100,02/21/2018,09:00 AM before Chief Judge Gregory K Frizzell) (Court Reporter: Brian Neil,186,261,09:00 AM before Chief Judge,Gregory K Frizzell,) (Court Reporter: Brian Neil,214,232,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,101,02/22/2018,of Proceedings - held before Chief Judge Gregory K Frizzell: Jury Trial held (Continued to,8,98,of Proceedings - held before Chief Judge,Gregory K Frizzell,: Jury Trial held (Continued to,49,67,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,101,02/22/2018,09:00 AM before Chief Judge Gregory K Frizzell) (Court Reporter: Brian Neil,186,261,09:00 AM before Chief Judge,Gregory K Frizzell,) (Court Reporter: Brian Neil,214,232,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,102,02/23/2018,of Proceedings - held before Chief Judge Gregory K Frizzell: Jury Trial held (Continued to,8,98,of Proceedings - held before Chief Judge,Gregory K Frizzell,: Jury Trial held (Continued to,49,67,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,102,02/23/2018,09:00 AM before Chief Judge Gregory K Frizzell) (Court Reporter: Brian Neil,186,261,09:00 AM before Chief Judge,Gregory K Frizzell,) (Court Reporter: Brian Neil,214,232,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,103,02/26/2018,of Proceedings - held before Chief Judge Gregory K Frizzell: Jury Trial completed (Briefing schedule,8,108,of Proceedings - held before Chief Judge,Gregory K Frizzell,: Jury Trial completed (Briefing schedule,49,67,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,105,02/26/2018,"JURY INSTRUCTIONS by Chief Judge Gregory K Frizzell (kjp, Dpty Clk) (",0,69,JURY INSTRUCTIONS by Chief Judge,Gregory K Frizzell,"(kjp, Dpty Clk) (",33,51,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,107,03/06/2018,/22/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),84,159,/22/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),112,130,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,108,03/07/2018,/22/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),91,166,/22/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),119,137,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,109,03/07/2018,/23/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),92,167,/23/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),120,138,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,112,03/17/2018,/20/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),94,169,/20/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),122,140,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,113,03/17/2018,/21/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),95,170,/21/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),123,141,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,114,03/17/2018,/21/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),84,159,/21/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),112,130,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,115,03/17/2018,/22/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),85,160,/22/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),113,131,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,116,03/17/2018,/22/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),81,156,/22/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),109,127,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,117,03/17/2018,/23/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),81,156,/23/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),109,127,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,118,03/17/2018,/23/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),85,160,/23/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),113,131,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,119,03/17/2018,/23/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),76,151,/23/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),104,122,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,120,03/17/2018,/26/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),80,155,/26/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),108,126,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,122,03/26/2018,MINUTE ORDER by Chief Judge Gregory K Frizzell Counsel for Defendant AHS Oklahoma Physician Group,0,97,MINUTE ORDER by Chief Judge,Gregory K Frizzell,Counsel for Defendant AHS Oklahoma Physician Group,28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,123,04/05/2018,/5/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),68,142,/5/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),95,113,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,124,04/05/2018,/20/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),73,148,/20/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),101,119,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,125,04/05/2018,/21/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),74,149,/21/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),102,120,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,126,04/05/2018,/22/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),75,150,/22/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),103,121,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,127,04/05/2018,/23/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),74,149,/23/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),102,120,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,128,04/05/2018,/26/2018 before Chief Judge Gregory K Frizzell (Court Reporter: Brian Neil),73,148,/26/2018 before Chief Judge,Gregory K Frizzell,(Court Reporter: Brian Neil),101,119,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,129,04/09/2018,/26/18 before Chief Judge Gregory K Frizzell (Court Reporter: Terri Beeler),59,134,/26/18 before Chief Judge,Gregory K Frizzell,(Court Reporter: Terri Beeler),85,103,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,131,04/25/2018,ORDER by Chief Judge Gregory K Frizzell ; granting in part and denying in,0,73,ORDER by Chief Judge,Gregory K Frizzell,; granting in part and denying in,21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,132,04/25/2018,"JUDGMENT by Chief Judge Gregory K Frizzell, entering judgment in favor of Plaintiff",0,83,JUDGMENT by Chief Judge,Gregory K Frizzell,", entering judgment in favor of Plaintiff",24,42,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,136,05/09/2018,MINUTE ORDER by Chief Judge Gregory K Frizzell Counsel for Defendant is directed to provide,0,91,MINUTE ORDER by Chief Judge,Gregory K Frizzell,Counsel for Defendant is directed to provide,28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,144,05/22/2018,ORDER by Chief Judge Gregory K Frizzell ; setting/resetting deadline(s,0,70,ORDER by Chief Judge,Gregory K Frizzell,; setting/resetting deadline(s,21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,146,06/05/2018,ORDER by Chief Judge Gregory K Frizzell ; granting 138 Motion for Leave to,0,74,ORDER by Chief Judge,Gregory K Frizzell,; granting 138 Motion for Leave to,21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,149,06/06/2018,MINUTE ORDER by Chief Judge Gregory K Frizzell Counsel for Plaintiff is directed to provide,0,91,MINUTE ORDER by Chief Judge,Gregory K Frizzell,Counsel for Plaintiff is directed to provide,28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,153,06/18/2018,"MINUTE ORDER by Chief Judge Gregory K Frizzell expediting Response and Reply deadlines, setting",0,95,MINUTE ORDER by Chief Judge,Gregory K Frizzell,"expediting Response and Reply deadlines, setting",28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,156,06/25/2018,MINUTE ORDER by Chief Judge Gregory K Frizzell Plaintiff shall file their supplemental brief by,0,95,MINUTE ORDER by Chief Judge,Gregory K Frizzell,Plaintiff shall file their supplemental brief by,28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,159,01/09/2019,ORDER by Chief Judge Gregory K Frizzell ; denying 128 Motion for Judgment as,0,76,ORDER by Chief Judge,Gregory K Frizzell,; denying 128 Motion for Judgment as,21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,163,01/18/2019,ORDER by Chief Judge Gregory K Frizzell ; granting 133 Motion for Attorney Fees,0,79,ORDER by Chief Judge,Gregory K Frizzell,; granting 133 Motion for Attorney Fees,21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,173,02/13/2019,ORDER by Chief Judge Gregory K Frizzell Staying Execution of Judgment and Approving Deposit,0,91,ORDER by Chief Judge,Gregory K Frizzell,Staying Execution of Judgment and Approving Deposit,21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00439,oknd,2016,4:16-cv-00439,6,07/25/2016,ORDER by Judge Terence Kern - case transferred to the Eastern District,0,70,ORDER by Judge,Terence Kern,- case transferred to the Eastern District,15,27,line_entry,SPACY JNLP2
oknd;;4:16-cv-00576,oknd,2016,4:16-cv-00576,2,09/19/2016,ORDER by Judge John E Dowdell Petitioner's motion for leave to proceed,0,70,ORDER by Judge,John E Dowdell,Petitioner's motion for leave to proceed,15,29,line_entry,SPACY JNLP2
oknd;;4:16-cv-00576,oknd,2016,4:16-cv-00576,3,12/30/2016,ORDER by Judge John E Dowdell The petition for a writ of habeas,0,63,ORDER by Judge,John E Dowdell,The petition for a writ of habeas,15,29,line_entry,SPACY JNLP2
oknd;;4:16-cv-00576,oknd,2016,4:16-cv-00576,4,12/30/2016,"JUDGMENT by Judge John E Dowdell (OF DISMISSAL), dismissing/",0,60,JUDGMENT by Judge,John E Dowdell,"(OF DISMISSAL), dismissing/",18,32,line_entry,SPACY JNLP2
